candidate_id,params,pred_ge4,pred_ge5,pred_ge6,obs_ge4,obs_ge5,obs_ge6,tail_err_4,tail_err_5,tail_err_6,flag_default
moderado,"{""enabled"": true, ""beta"": 0.55, ""t0"": 3, ""max_mass_shift"": 0.04, ""min_signal"": 0.35, ""weak_favorite_guard"": true}",0.264006,0.130943,0.058486,0.282902,0.156477,0.074093,0.018895,0.025534,0.015608,OFF
fuerte,"{""enabled"": true, ""beta"": 1.0, ""t0"": 3, ""max_mass_shift"": 0.07, ""min_signal"": 0.3, ""weak_favorite_guard"": true}",0.278276,0.144828,0.069412,0.282902,0.156477,0.074093,0.004626,0.011649,0.004681,OFF
