candidate_id,n,base_logloss,exp_logloss,base_brier,exp_brier,base_penca,exp_penca,base_draw_err,exp_draw_err,tail_err_4_base,tail_err_4_exp,tail_err_5_base,tail_err_5_exp,tail_err_6_base,tail_err_6_exp,weak_fav_tail_overpred,decision,reason
moderado,1930,0.994444,0.994967,0.197343,0.197436,2.47513,2.471503,0.002817,0.001111,0.028781,0.018895,0.034275,0.025534,0.021661,0.015608,-0.010725,diagnostic_only,mejora colas pero rompe guard(s): Penca
fuerte,1930,0.994444,0.995553,0.197343,0.197547,2.47513,2.476684,0.002817,0.001483,0.028781,0.004626,0.034275,0.011649,0.021661,0.004681,-0.010725,activate,"mejora total>=5 sin empeorar >=4/>=6, log-loss, Brier, Penca ni empates"
