fold,train_n,test_n,train_end_date,test_start_date,test_end_date,temperature,test_n_scored,brier,log_loss,accuracy,exact_score_accuracy,penca_points_avg,penca_points_total,poisson_simple_brier,poisson_simple_logloss,beats_poisson_simple,elo_puro_brier,elo_puro_logloss,beats_elo_puro
1,400,200,1976-06-16,1976-06-17,1986-06-11,1.0,200,0.21360448114606928,1.064270387614338,0.465,0.145,2.22,444.0,0.21185084111072186,1.0545511645118033,False,0.20979902431335223,1.0458761571174215,False
2,600,197,1986-06-11,1986-06-12,1994-06-18,1.0,197,0.20701554636740874,1.025567863131035,0.5076142131979695,0.12690355329949238,2.431472081218274,479.0,0.20518045759690376,1.023040256996584,False,0.2051536894368889,1.0183707840638125,False
3,800,199,1994-06-18,1994-06-19,1999-07-01,1.0,199,0.1909767377284863,0.9662773941827948,0.5477386934673367,0.12562814070351758,2.557788944723618,509.0,0.19659752501514088,0.9919261032997023,True,0.19644148345569518,0.9886169315999126,True
4,1000,199,1999-07-01,1999-07-02,2006-06-09,1.0,199,0.196430727353911,0.9895773561626403,0.5376884422110553,0.11557788944723618,2.522613065326633,502.0,0.19961515896154644,1.0031526383310432,True,0.20099243839052638,1.008151758626801,True
5,1200,199,2006-06-09,2006-06-10,2011-07-12,1.0,199,0.1934360133603774,0.9755688630002238,0.5477386934673367,0.1407035175879397,2.613065326633166,520.0,0.19741208833610616,0.9932971919051234,True,0.19813639739184094,0.9941513642316068,True
6,1400,200,2011-07-12,2011-07-13,2016-06-25,1.0,200,0.19823352066828878,0.9918656935075458,0.54,0.16,2.625,525.0,0.19948896357420673,1.001050336298737,True,0.20018888190016512,1.001055749473315,True
7,1600,199,2016-06-25,2016-06-26,2022-11-25,1.0,199,0.18839145627106377,0.9516988969399599,0.5678391959798995,0.18090452261306533,2.658291457286432,529.0,0.19371326379132037,0.9776517027758598,True,0.19294330070589175,0.9693827107522113,True
8,1800,127,2022-11-25,2022-11-26,2024-07-14,1.0,127,0.19603704590956925,0.9957218371872535,0.5590551181102362,0.12598425196850394,2.409448818897638,306.0,0.19837536434017738,1.0000690075172023,True,0.19818050355519579,1.0013735337725984,True
