match_id,stage_label,title,team_a,team_b,score,goals_a,goals_b,prob_scoreline,expected_points_8_5_3,exact_prob,difference_prob,result_prob,risk_adjusted_points,ensemble_adjusted_points,competitive_adjusted_points,public_score_popularity_index,differential_value_index,plausibility_index,rank_by_probability,rank_by_expected_points,selected_by_model,selected_by_penca,model_modal_score,model_modal_prob,penca_score,penca_expected_points,tail_7plus_or_other_prob
,Grupo A,Mexico vs South Africa,Mexico,South Africa,1-4,1,4,0.00027698100600501445,0.1731380316572273,0.00027698100600501445,0.0014001477110959315,0.056502264405673464,0.05947785760341337,0.03635729896747802,0.09003955992976734,0.0,0.19172236057960468,0.6553251429113796,27,41,False,False,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
,Grupo A,Mexico vs South Africa,Mexico,South Africa,1-5,1,5,4.909166263322738e-05,0.17016338086627705,4.909166263322738e-05,0.00025465633067848874,0.056502264405673464,0.05904015310150504,0.029584322049279084,0.07609713610406682,0.0,0.16611719305281336,0.5555692065265356,34,45,False,False,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
,Grupo A,Mexico vs South Africa,Mexico,South Africa,1-6,1,6,8.506106586008023e-06,0.16962407589189224,8.506106586008023e-06,4.588217755692376e-05,0.056502264405673464,0.05896841672499922,0.027639243659053035,0.06938386506569572,0.0,0.14908793359515243,0.48,41,48,False,False,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
,Grupo A,Mexico vs South Africa,Mexico,South Africa,2-0,2,0,0.18091907909343563,3.291722409652354,0.18091907909343563,0.2188302694194383,0.77043487784439,3.1731400206119336,3.8587045937013102,4.109609869645308,0.0,0.896090271228563,0.9660546566450932,1,1,True,True,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
,Grupo A,Mexico vs South Africa,Mexico,South Africa,2-1,2,1,0.04240323826455837,2.8566574042519965,0.04240323826455837,0.2090715279625759,0.77043487784439,2.8460131370536255,2.9318003599359463,3.1191306708660607,0.0,0.6690368247504089,0.9744442210355795,7,4,False,False,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
,Grupo A,Mexico vs South Africa,Mexico,South Africa,2-2,2,2,0.008541400839713841,0.8909384912688236,0.008541400839713841,0.1730628577499364,0.1730628577499364,0.701433476749677,0.8104261494766241,0.927900039457239,0.0,0.41954960707362465,0.974129040249884,15,24,False,False,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
,Grupo A,Mexico vs South Africa,Mexico,South Africa,2-3,2,3,0.0015687603195915752,0.26798075725463094,0.0015687603195915752,0.04688384153941793,0.056502264405673464,0.11383755419772763,0.19205573246805946,0.2638880020345717,0.0,0.25654381988040087,0.7700384751714004,22,31,False,False,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
,Grupo A,Mexico vs South Africa,Mexico,South Africa,2-4,2,4,0.00024612526060878106,0.18606173429089223,0.00024612526060878106,0.007908282646022754,0.056502264405673464,0.06513482238499343,0.1353323542271546,0.1929795479841564,0.0,0.205882834846435,0.5544609300234751,28,37,False,False,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
,Grupo A,Mexico vs South Africa,Mexico,South Africa,2-5,2,5,4.208703697546219e-05,0.17243334975013863,4.208703697546219e-05,0.0014001477110959315,0.056502264405673464,0.059899995331822525,0.09096932052862533,0.13627640590523746,0.0,0.16181101920218616,0.48,35,42,False,False,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
,Grupo A,Mexico vs South Africa,Mexico,South Africa,2-6,2,6,7.21382135848417e-06,0.17003774734245283,7.21382135848417e-06,0.00025465633067848874,0.056502264405673464,0.05912011442553933,0.07396246129443276,0.1157139767306346,0.0,0.1491125551292923,0.48,42,46,False,False,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
,Grupo A,Mexico vs South Africa,Mexico,South Africa,3-0,3,0,0.14646543151224495,3.088631426881874,0.14646543151224495,0.16896524940598484,0.77043487784439,2.9656498895866203,3.38958615474032,3.594228301731191,0.0,0.730864810681681,0.7882846541417734,3,3,False,False,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
,Grupo A,Mexico vs South Africa,Mexico,South Africa,3-1,3,1,0.034541223965546694,2.852588844268687,0.034541223965546694,0.2188302694194383,0.77043487784439,2.8547228375754123,2.8048004223550587,2.970804990304866,0.0,0.5928734569635972,0.9748789536002939,9,5,False,False,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
,Grupo A,Mexico vs South Africa,Mexico,South Africa,3-2,3,2,0.0048724427379079945,2.7440650176720456,0.0048724427379079945,0.2090715279625759,0.77043487784439,2.7744305765291086,2.3735129958782157,2.487346148379202,0.0,0.40654697321780714,0.8421798661113182,17,10,False,False,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
,Grupo A,Mexico vs South Africa,Mexico,South Africa,3-3,3,3,0.0008717021544736534,0.867929395213103,0.0008717021544736534,0.1730628577499364,0.1730628577499364,0.6904686212593654,0.5927861646203093,0.6571222402636446,0.0,0.2297716987261974,0.6597473179652409,24,25,False,False,2-0,0.18091907909343563,2-0,3.291722409652354,0.01336659796601014
