match_id,stage_label,title,team_a,team_b,model_modal_score,model_modal_prob,penca_score,penca_exact_prob,penca_expected_points_8_5_3,modal_expected_points_8_5_3,top3_by_probability,top3_by_expected_points,recommended_strategy,leader_score,middle_score,chaser_score,confidence_label,why_not_model_modal,tail_7plus_or_other_prob,warnings
M94,Octavos de final,Octavos 6: Colombia vs Spain,Colombia,Spain,0-1,0.1491201772,0-1,0.1491201772,2.7912930697,2.7912930697,0-1 (14.9%); 0-2 (13.2%); 0-0 (11.1%),0-1 (2.79 pts); 0-2 (2.62 pts); 1-2 (2.59 pts),balanced,0-1,0-1,0-1,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0033586224,
M95,Octavos de final,Octavos 7: Switzerland vs Argentina,Switzerland,Argentina,0-1,0.1525895591,0-1,0.1525895591,2.9352454092,2.9352454092,0-1 (15.3%); 0-2 (14.6%); 0-0 (10.3%),0-1 (2.94 pts); 0-2 (2.83 pts); 1-2 (2.72 pts),balanced,0-1,0-1,0-1,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0043982904,
M96,Octavos de final,Octavos 8: Colombia vs Turkey,Colombia,Turkey,1-0,0.1346145119,1-0,0.1346145119,2.4131159103,2.4131159103,1-0 (13.5%); 1-1 (12.6%); 0-0 (12.1%),1-0 (2.41 pts); 2-1 (2.26 pts); 2-0 (2.16 pts),balanced,1-0,1-0,1-0,Baja,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0017254752,
M97,Cuartos de final,Cuartos 1: Germany vs Brazil,Germany,Brazil,1-1,0.1392153524,0-1,0.1138396540,2.1054580776,1.9459798989,1-1 (13.9%); 0-1 (11.4%); 0-0 (11.3%),0-1 (2.11 pts); 1-2 (2.01 pts); 1-1 (1.95 pts),balanced,1-1,0-1,0-1,Baja,"No elegimos 1-1 aunque sea el modal (13.9%) porque 0-1 da mayor valor Penca esperado (2.11 vs 1.95 pts) al combinar exacto, diferencia y resultado.",0.0013135912,Penca difiere del modal
M98,Cuartos de final,Cuartos 2: France vs England,France,England,1-1,0.1437242710,1-1,0.1437242710,2.0391763319,2.0391763319,1-1 (14.4%); 0-0 (12.7%); 1-0 (10.6%),1-1 (2.04 pts); 0-0 (1.99 pts); 1-0 (1.82 pts),balanced,1-1,1-1,1-1,Baja,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0008804272,
M99,Cuartos de final,Cuartos 3: Turkey vs Spain,Turkey,Spain,0-2,0.1663653727,0-1,0.1583616649,3.1440177992,3.1352329287,0-2 (16.6%); 0-1 (15.8%); 0-3 (12.0%),0-1 (3.14 pts); 0-2 (3.14 pts); 1-2 (2.88 pts),balanced,0-2,0-1,0-1,Media,"No elegimos 0-2 aunque sea el modal (16.6%) porque 0-1 da mayor valor Penca esperado (3.14 vs 3.14 pts) al combinar exacto, diferencia y resultado.",0.0068918673,Penca difiere del modal
M100,Cuartos de final,Cuartos 4: Argentina vs Colombia,Argentina,Colombia,1-0,0.1420861204,1-0,0.1420861204,2.5249315604,2.5249315604,1-0 (14.2%); 1-1 (12.2%); 0-0 (12.2%),1-0 (2.52 pts); 2-1 (2.35 pts); 2-0 (2.29 pts),balanced,1-0,1-0,1-0,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0019052359,
M101,Semifinal,Semifinal 1: Brazil vs France,Brazil,France,1-1,0.1381204836,0-1,0.1192529875,2.1250904135,1.9580314621,1-1 (13.8%); 0-0 (12.2%); 0-1 (11.9%),0-1 (2.13 pts); 1-2 (2.01 pts); 1-1 (1.96 pts),balanced,1-1,0-1,0-1,Baja,"No elegimos 1-1 aunque sea el modal (13.8%) porque 0-1 da mayor valor Penca esperado (2.13 vs 1.96 pts) al combinar exacto, diferencia y resultado.",0.0011794863,Penca difiere del modal
M102,Semifinal,Semifinal 2: Spain vs Argentina,Spain,Argentina,1-1,0.1400732439,1-0,0.1162904368,2.0474375972,1.9817545948,1-1 (14.0%); 0-0 (12.2%); 1-0 (11.6%),1-0 (2.05 pts); 1-1 (1.98 pts); 2-1 (1.94 pts),balanced,1-1,1-0,1-0,Baja,"No elegimos 1-1 aunque sea el modal (14.0%) porque 1-0 da mayor valor Penca esperado (2.05 vs 1.98 pts) al combinar exacto, diferencia y resultado.",0.0010720378,Penca difiere del modal
M103,Final,Final: France vs Spain,France,Spain,1-1,0.1316495217,0-1,0.1281156203,2.3271396327,1.8709414167,1-1 (13.2%); 0-1 (12.8%); 0-0 (11.7%),0-1 (2.33 pts); 1-2 (2.20 pts); 0-2 (2.07 pts),balanced,1-1,0-1,0-1,Baja,"No elegimos 1-1 aunque sea el modal (13.2%) porque 0-1 da mayor valor Penca esperado (2.33 vs 1.87 pts) al combinar exacto, diferencia y resultado.",0.0015865754,Penca difiere del modal
M104,Tercer puesto,Tercer puesto: Brazil vs Argentina,Brazil,Argentina,0-1,0.1331650165,0-1,0.1331650165,2.4112878658,2.4112878658,0-1 (13.3%); 1-1 (12.9%); 0-0 (11.7%),0-1 (2.41 pts); 1-2 (2.27 pts); 0-2 (2.16 pts),balanced,0-1,0-1,0-1,Baja,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0017466566,
