match_id,stage_label,title,team_a,team_b,model_modal_score,model_modal_prob,penca_score,penca_exact_prob,penca_expected_points_8_5_3,modal_expected_points_8_5_3,top3_by_probability,top3_by_expected_points,recommended_strategy,leader_score,middle_score,chaser_score,confidence_label,why_not_model_modal,tail_7plus_or_other_prob,warnings
,Grupo D,Brazil vs Haiti,Brazil,Haiti,3-0,0.1931073646,3-0,0.1931073646,3.7187606137,3.7187606137,3-0 (19.3%); 2-0 (17.8%); 4-0 (14.3%),3-0 (3.72 pts); 2-0 (3.66 pts); 4-0 (3.45 pts),balanced,3-0,3-0,3-0,Alta,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0429169679,cola 7+ relevante
,Grupo C,Turkey vs Paraguay,Turkey,Paraguay,1-1,0.1292278907,1-0,0.1101626032,2.1167737484,1.8552898940,1-1 (12.9%); 1-0 (11.0%); 0-0 (11.0%),1-0 (2.12 pts); 2-1 (2.03 pts); 2-0 (1.89 pts),balanced,1-1,1-0,1-0,Baja,"No elegimos 1-1 aunque sea el modal (12.9%) porque 1-0 da mayor valor Penca esperado (2.12 vs 1.86 pts) al combinar exacto, diferencia y resultado.",0.0019040205,Penca difiere del modal
,Grupo F,Netherlands vs Sweden,Netherlands,Sweden,2-0,0.1598468019,2-0,0.1598468019,3.0513967378,3.0513967378,2-0 (16.0%); 1-0 (14.0%); 3-0 (12.9%),2-0 (3.05 pts); 1-0 (2.97 pts); 3-0 (2.85 pts),balanced,2-0,2-0,2-0,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0118505529,
,Grupo E,Germany vs Ivory Coast,Germany,Ivory Coast,2-0,0.1591475253,2-0,0.1591475253,3.0836395757,3.0836395757,2-0 (15.9%); 1-0 (14.4%); 3-0 (12.6%),2-0 (3.08 pts); 1-0 (3.04 pts); 3-0 (2.87 pts),balanced,2-0,2-0,2-0,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0114814509,
,Grupo E,Ecuador vs Curacao,Ecuador,Curacao,2-0,0.2076776106,2-0,0.2076776106,3.6489110299,3.6489110299,2-0 (20.8%); 3-0 (17.3%); 1-0 (17.0%),2-0 (3.65 pts); 1-0 (3.47 pts); 3-0 (3.45 pts),balanced,2-0,2-0,2-0,Alta,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0182881541,
,Grupo F,Tunisia vs Japan,Tunisia,Japan,0-2,0.1537577525,0-1,0.1482476283,2.9250273573,2.9199529820,0-2 (15.4%); 0-1 (14.8%); 0-0 (11.6%),0-1 (2.93 pts); 0-2 (2.92 pts); 0-3 (2.68 pts),balanced,0-2,0-1,0-1,Media,"No elegimos 0-2 aunque sea el modal (15.4%) porque 0-1 da mayor valor Penca esperado (2.93 vs 2.92 pts) al combinar exacto, diferencia y resultado.",0.0090956327,Penca difiere del modal
,Grupo G,Spain vs Saudi Arabia,Spain,Saudi Arabia,3-0,0.1895816701,3-0,0.1895816701,3.6965701872,3.6965701872,3-0 (19.0%); 2-0 (17.3%); 4-0 (14.9%),3-0 (3.70 pts); 2-0 (3.63 pts); 4-0 (3.48 pts),balanced,3-0,3-0,3-0,Alta,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0465768816,cola 7+ relevante
,Grupo H,Belgium vs Iran,Belgium,Iran,1-0,0.1414547956,1-0,0.1414547956,2.8410564226,2.8410564226,1-0 (14.1%); 2-0 (12.6%); 1-1 (10.1%),1-0 (2.84 pts); 2-1 (2.68 pts); 2-0 (2.68 pts),balanced,1-0,1-0,1-0,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0047986104,
,Grupo G,Uruguay vs Cape Verde,Uruguay,Cape Verde,2-0,0.1817016562,2-0,0.1817016562,3.2857101648,3.2857101648,2-0 (18.2%); 1-0 (16.4%); 3-0 (14.3%),2-0 (3.29 pts); 1-0 (3.22 pts); 3-0 (3.06 pts),balanced,2-0,2-0,2-0,Alta,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0123081781,
,Grupo H,New Zealand vs Egypt,New Zealand,Egypt,0-1,0.1309466394,0-1,0.1309466394,2.5492647533,2.5492647533,0-1 (13.1%); 0-2 (11.5%); 1-1 (11.2%),0-1 (2.55 pts); 1-2 (2.40 pts); 0-2 (2.38 pts),balanced,0-1,0-1,0-1,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0033829052,
,Grupo J,Argentina vs Austria,Argentina,Austria,2-0,0.1684162158,2-0,0.1684162158,3.2638019977,3.2638019977,2-0 (16.8%); 1-0 (15.2%); 3-0 (12.9%),2-0 (3.26 pts); 1-0 (3.22 pts); 3-0 (3.02 pts),balanced,2-0,2-0,2-0,Alta,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0104895252,
,Grupo I,France vs Iraq,France,Iraq,2-0,0.2026558581,2-0,0.2026558581,3.6562019054,3.6562019054,2-0 (20.3%); 3-0 (17.6%); 1-0 (16.3%),2-0 (3.66 pts); 3-0 (3.50 pts); 1-0 (3.47 pts),balanced,2-0,2-0,2-0,Alta,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0183562766,
,Grupo I,Norway vs Senegal,Norway,Senegal,1-1,0.1355796257,1-0,0.1054477532,1.9290907977,1.9111800538,1-1 (13.6%); 0-0 (11.1%); 1-0 (10.5%),1-0 (1.93 pts); 1-1 (1.91 pts); 2-1 (1.85 pts),balanced,1-1,1-0,1-0,Baja,"No elegimos 1-1 aunque sea el modal (13.6%) porque 1-0 da mayor valor Penca esperado (1.93 vs 1.91 pts) al combinar exacto, diferencia y resultado.",0.0014304499,Penca difiere del modal
,Grupo J,Jordan vs Algeria,Jordan,Algeria,1-1,0.1360622438,1-1,0.1360622438,1.9466755207,1.9466755207,1-1 (13.6%); 0-0 (11.6%); 1-0 (9.7%),1-1 (1.95 pts); 0-0 (1.89 pts); 1-0 (1.71 pts),balanced,1-1,1-1,1-1,Baja,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0012956877,
,Grupo K,Portugal vs Uzbekistan,Portugal,Uzbekistan,2-0,0.1542508997,1-0,0.1517857474,3.1015963470,3.0632853253,2-0 (15.4%); 1-0 (15.2%); 3-0 (11.1%),1-0 (3.10 pts); 2-0 (3.06 pts); 2-1 (2.86 pts),balanced,2-0,1-0,1-0,Media,"No elegimos 2-0 aunque sea el modal (15.4%) porque 1-0 da mayor valor Penca esperado (3.10 vs 3.06 pts) al combinar exacto, diferencia y resultado.",0.0080424832,Penca difiere del modal
,Grupo L,England vs Ghana,England,Ghana,2-0,0.2030918199,2-0,0.2030918199,3.6806819311,3.6806819311,2-0 (20.3%); 3-0 (18.3%); 1-0 (15.8%),2-0 (3.68 pts); 3-0 (3.56 pts); 1-0 (3.46 pts),balanced,2-0,2-0,2-0,Alta,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0203232358,
,Grupo L,Panama vs Croatia,Panama,Croatia,0-1,0.1412713770,0-1,0.1412713770,2.9356377916,2.9356377916,0-1 (14.1%); 0-2 (14.1%); 0-3 (10.0%),0-1 (2.94 pts); 0-2 (2.87 pts); 1-2 (2.75 pts),balanced,0-1,0-1,0-1,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0064155733,
,Grupo K,Colombia vs Dem. Rep. of Congo,Colombia,Dem. Rep. of Congo,2-0,0.1762780893,2-0,0.1762780893,3.3981180822,3.3981180822,2-0 (17.6%); 1-0 (16.0%); 3-0 (14.3%),2-0 (3.40 pts); 1-0 (3.35 pts); 3-0 (3.19 pts),balanced,2-0,2-0,2-0,Alta,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0137613648,
,Grupo B,Bosnia and Herzegovina vs Qatar,Bosnia and Herzegovina,Qatar,1-0,0.1388317030,1-0,0.1388317030,2.7350373697,2.7350373697,1-0 (13.9%); 2-0 (12.2%); 1-1 (10.9%),1-0 (2.74 pts); 2-1 (2.58 pts); 2-0 (2.56 pts),balanced,1-0,1-0,1-0,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0040186640,
,Grupo B,Switzerland vs Canada,Switzerland,Canada,1-0,0.1302839758,1-0,0.1302839758,2.5232041806,2.5232041806,1-0 (13.0%); 1-1 (11.8%); 2-0 (10.9%),1-0 (2.52 pts); 2-1 (2.39 pts); 2-0 (2.32 pts),balanced,1-0,1-0,1-0,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0029178786,
,Grupo D,Morocco vs Haiti,Morocco,Haiti,2-0,0.1680422373,2-0,0.1680422373,3.1889646122,3.1889646122,2-0 (16.8%); 1-0 (15.5%); 3-0 (12.3%),2-0 (3.19 pts); 1-0 (3.16 pts); 3-0 (2.91 pts),balanced,2-0,2-0,2-0,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0088573259,
,Grupo D,Scotland vs Brazil,Scotland,Brazil,0-2,0.1495154058,0-1,0.1443123035,2.9643944905,2.9331517393,0-2 (15.0%); 0-1 (14.4%); 0-3 (10.5%),0-1 (2.96 pts); 0-2 (2.93 pts); 1-2 (2.75 pts),balanced,0-2,0-1,0-1,Media,"No elegimos 0-2 aunque sea el modal (15.0%) porque 0-1 da mayor valor Penca esperado (2.96 vs 2.93 pts) al combinar exacto, diferencia y resultado.",0.0064157357,Penca difiere del modal
,Grupo A,Czech Republic vs Mexico,Czech Republic,Mexico,0-1,0.1337642546,0-1,0.1337642546,2.7466164704,2.7466164704,0-1 (13.4%); 0-2 (12.5%); 1-1 (10.4%),0-1 (2.75 pts); 0-2 (2.62 pts); 1-2 (2.60 pts),balanced,0-1,0-1,0-1,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0047722331,
,Grupo A,South Africa vs South Korea,South Africa,South Korea,0-2,0.1906281603,0-2,0.1906281603,3.4179700442,3.4179700442,0-2 (19.1%); 0-1 (18.0%); 0-3 (14.1%),0-2 (3.42 pts); 0-1 (3.40 pts); 0-3 (3.13 pts),balanced,0-2,0-2,0-2,Alta,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0097509036,
,Grupo E,Curacao vs Ivory Coast,Curacao,Ivory Coast,0-1,0.1379820358,0-1,0.1379820358,2.8185506913,2.8185506913,0-1 (13.8%); 0-2 (13.1%); 1-1 (10.2%),0-1 (2.82 pts); 0-2 (2.71 pts); 1-2 (2.65 pts),balanced,0-1,0-1,0-1,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0050816035,
,Grupo E,Ecuador vs Germany,Ecuador,Germany,1-1,0.1376601009,1-1,0.1376601009,1.9178742493,1.9178742493,1-1 (13.8%); 0-0 (10.3%); 0-1 (9.6%),1-1 (1.92 pts); 0-1 (1.84 pts); 0-0 (1.81 pts),balanced,1-1,1-1,1-1,Baja,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0014970057,
,Grupo F,Japan vs Sweden,Japan,Sweden,1-0,0.1434369939,1-0,0.1434369939,2.9385853681,2.9385853681,1-0 (14.3%); 2-0 (13.9%); 3-0 (9.5%),1-0 (2.94 pts); 2-0 (2.85 pts); 2-1 (2.75 pts),balanced,1-0,1-0,1-0,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0061235026,
,Grupo F,Tunisia vs Netherlands,Tunisia,Netherlands,0-2,0.1801111059,0-2,0.1801111059,3.4004916117,3.4004916117,0-2 (18.0%); 0-1 (16.2%); 0-3 (14.3%),0-2 (3.40 pts); 0-1 (3.34 pts); 0-3 (3.17 pts),balanced,0-2,0-2,0-2,Alta,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0122206932,
,Grupo C,Paraguay vs Australia,Paraguay,Australia,1-1,0.1328921243,1-0,0.1066606871,1.9100634250,1.9068630034,1-1 (13.3%); 0-0 (11.3%); 1-0 (10.7%),1-0 (1.91 pts); 1-1 (1.91 pts); 0-0 (1.85 pts),balanced,1-1,1-0,1-0,Baja,"No elegimos 1-1 aunque sea el modal (13.3%) porque 1-0 da mayor valor Penca esperado (1.91 vs 1.91 pts) al combinar exacto, diferencia y resultado.",0.0014011882,Penca difiere del modal
,Grupo C,Turkey vs United States,Turkey,United States,1-1,0.1203424219,1-0,0.1199341507,2.4103279600,1.7137505004,1-1 (12.0%); 1-0 (12.0%); 2-0 (10.0%),1-0 (2.41 pts); 2-1 (2.32 pts); 2-0 (2.20 pts),balanced,1-1,1-0,1-0,Baja,"No elegimos 1-1 aunque sea el modal (12.0%) porque 1-0 da mayor valor Penca esperado (2.41 vs 1.71 pts) al combinar exacto, diferencia y resultado.",0.0027978377,Penca difiere del modal
,Grupo I,Norway vs France,Norway,France,0-1,0.1313943848,0-1,0.1313943848,2.7170186563,2.7170186563,0-1 (13.1%); 0-2 (12.6%); 1-1 (10.7%),0-1 (2.72 pts); 0-2 (2.61 pts); 1-2 (2.57 pts),balanced,0-1,0-1,0-1,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0046063900,
,Grupo I,Senegal vs Iraq,Senegal,Iraq,2-0,0.1704319518,1-0,0.1631998411,3.2206126010,3.2102666714,2-0 (17.0%); 1-0 (16.3%); 3-0 (11.9%),1-0 (3.22 pts); 2-0 (3.21 pts); 2-1 (2.93 pts),balanced,2-0,1-0,1-0,Alta,"No elegimos 2-0 aunque sea el modal (17.0%) porque 1-0 da mayor valor Penca esperado (3.22 vs 3.21 pts) al combinar exacto, diferencia y resultado.",0.0086667860,Penca difiere del modal
,Grupo G,Cape Verde vs Saudi Arabia,Cape Verde,Saudi Arabia,1-1,0.1343079342,0-1,0.1141658916,1.9546568595,1.9362671217,1-1 (13.4%); 0-0 (12.3%); 0-1 (11.4%),0-1 (1.95 pts); 1-1 (1.94 pts); 0-0 (1.90 pts),balanced,1-1,0-1,0-1,Baja,"No elegimos 1-1 aunque sea el modal (13.4%) porque 0-1 da mayor valor Penca esperado (1.95 vs 1.94 pts) al combinar exacto, diferencia y resultado.",0.0011762151,Penca difiere del modal
,Grupo G,Uruguay vs Spain,Uruguay,Spain,0-2,0.1598883362,0-2,0.1598883362,3.2094793762,3.2094793762,0-2 (16.0%); 0-1 (14.6%); 0-3 (12.6%),0-2 (3.21 pts); 0-1 (3.18 pts); 0-3 (2.99 pts),balanced,0-2,0-2,0-2,Alta,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0112738668,
,Grupo H,Egypt vs Iran,Egypt,Iran,0-1,0.1275634316,0-1,0.1275634316,2.3798417107,2.3798417107,0-1 (12.8%); 1-1 (12.2%); 0-0 (10.9%),0-1 (2.38 pts); 1-2 (2.25 pts); 0-2 (2.14 pts),balanced,0-1,0-1,0-1,Baja,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0022745584,
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,0-2,0.1573533088,0-2,0.1573533088,3.1540831171,3.1540831171,0-2 (15.7%); 0-1 (14.3%); 0-3 (12.2%),0-2 (3.15 pts); 0-1 (3.12 pts); 0-3 (2.92 pts),balanced,0-2,0-2,0-2,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0100360297,
,Grupo L,Croatia vs Ghana,Croatia,Ghana,2-0,0.1880580991,2-0,0.1880580991,3.5260197233,3.5260197233,2-0 (18.8%); 1-0 (16.3%); 3-0 (16.1%),2-0 (3.53 pts); 1-0 (3.42 pts); 3-0 (3.35 pts),balanced,2-0,2-0,2-0,Alta,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0155833016,
,Grupo L,Panama vs England,Panama,England,0-2,0.1794138154,0-2,0.1794138154,3.3731151555,3.3731151555,0-2 (17.9%); 0-1 (15.3%); 0-3 (14.7%),0-2 (3.37 pts); 0-1 (3.27 pts); 0-3 (3.17 pts),balanced,0-2,0-2,0-2,Alta,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0120201465,
,Grupo K,Colombia vs Portugal,Colombia,Portugal,1-1,0.1365246415,1-1,0.1365246415,1.9628033521,1.9628033521,1-1 (13.7%); 0-0 (11.9%); 1-0 (9.9%),1-1 (1.96 pts); 0-0 (1.91 pts); 1-0 (1.72 pts),balanced,1-1,1-1,1-1,Baja,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0011873164,
,Grupo K,Dem. Rep. of Congo vs Uzbekistan,Dem. Rep. of Congo,Uzbekistan,0-1,0.1297831621,0-1,0.1297831621,2.3921721619,2.3921721619,0-1 (13.0%); 1-1 (12.4%); 0-0 (11.0%),0-1 (2.39 pts); 1-2 (2.25 pts); 0-2 (2.15 pts),balanced,0-1,0-1,0-1,Baja,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0021428166,
,Grupo J,Algeria vs Austria,Algeria,Austria,0-1,0.1292007880,0-1,0.1292007880,2.5479490664,2.5479490664,0-1 (12.9%); 1-1 (11.8%); 0-2 (10.8%),0-1 (2.55 pts); 1-2 (2.43 pts); 0-2 (2.34 pts),balanced,0-1,0-1,0-1,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0031168448,
,Grupo J,Jordan vs Argentina,Jordan,Argentina,0-2,0.1957055029,0-2,0.1957055029,3.5741831018,3.5741831018,0-2 (19.6%); 0-3 (16.7%); 0-1 (16.1%),0-2 (3.57 pts); 0-1 (3.41 pts); 0-3 (3.40 pts),balanced,0-2,0-2,0-2,Alta,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0160747586,
M73,Dieciseisavos de final,Dieciseisavos 1: South Korea vs Canada,South Korea,Canada,1-1,0.1413077147,1-1,0.1413077147,2.0416256189,2.0416256189,1-1 (14.1%); 0-0 (13.3%); 0-1 (10.4%),1-1 (2.04 pts); 0-0 (2.02 pts); 0-1 (1.74 pts),balanced,1-1,1-1,1-1,Baja,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0008457767,
M74,Dieciseisavos de final,Dieciseisavos 2: Germany vs Czech Republic,Germany,Czech Republic,1-0,0.1422472271,1-0,0.1422472271,2.7992286700,2.7992286700,1-0 (14.2%); 2-0 (13.2%); 1-1 (10.9%),1-0 (2.80 pts); 2-0 (2.66 pts); 2-1 (2.63 pts),balanced,1-0,1-0,1-0,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0037552169,
M75,Dieciseisavos de final,Dieciseisavos 3: Netherlands vs Morocco,Netherlands,Morocco,1-0,0.1440957286,1-0,0.1440957286,2.6330057007,2.6330057007,1-0 (14.4%); 2-0 (11.9%); 1-1 (11.8%),1-0 (2.63 pts); 2-1 (2.45 pts); 2-0 (2.41 pts),balanced,1-0,1-0,1-0,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0024626180,
M76,Dieciseisavos de final,Dieciseisavos 4: Brazil vs Japan,Brazil,Japan,1-0,0.1319163192,1-0,0.1319163192,2.4190619958,2.4190619958,1-0 (13.2%); 1-1 (12.7%); 0-0 (11.5%),1-0 (2.42 pts); 2-1 (2.27 pts); 2-0 (2.19 pts),balanced,1-0,1-0,1-0,Baja,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0018787008,
M77,Dieciseisavos de final,Dieciseisavos 5: France vs Scotland,France,Scotland,2-0,0.1665461497,1-0,0.1569081723,3.1135663132,3.1087154700,2-0 (16.7%); 1-0 (15.7%); 3-0 (11.8%),1-0 (3.11 pts); 2-0 (3.11 pts); 2-1 (2.85 pts),balanced,2-0,1-0,1-0,Media,"No elegimos 2-0 aunque sea el modal (16.7%) porque 1-0 da mayor valor Penca esperado (3.11 vs 3.11 pts) al combinar exacto, diferencia y resultado.",0.0064132817,Penca difiere del modal
M78,Dieciseisavos de final,Dieciseisavos 6: Ecuador vs Norway,Ecuador,Norway,1-1,0.1460487680,1-1,0.1460487680,2.0516107300,2.0516107300,1-1 (14.6%); 0-0 (12.7%); 1-0 (10.2%),1-1 (2.05 pts); 0-0 (1.99 pts); 2-2 (1.74 pts),balanced,1-1,1-1,1-1,Baja,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0008474081,
M79,Dieciseisavos de final,Dieciseisavos 7: Mexico vs Scotland,Mexico,Scotland,1-1,0.1294635292,1-0,0.1190058276,2.2383614232,1.8564903448,1-1 (12.9%); 1-0 (11.9%); 0-0 (11.4%),1-0 (2.24 pts); 2-1 (2.13 pts); 2-0 (2.02 pts),balanced,1-1,1-0,1-0,Baja,"No elegimos 1-1 aunque sea el modal (12.9%) porque 1-0 da mayor valor Penca esperado (2.24 vs 1.86 pts) al combinar exacto, diferencia y resultado.",0.0016942337,Penca difiere del modal
M80,Dieciseisavos de final,Dieciseisavos 8: England vs Uzbekistan,England,Uzbekistan,2-0,0.1723959033,1-0,0.1665785363,3.2033612949,3.1845648645,2-0 (17.2%); 1-0 (16.7%); 3-0 (12.2%),1-0 (3.20 pts); 2-0 (3.18 pts); 2-1 (2.90 pts),balanced,2-0,1-0,1-0,Alta,"No elegimos 2-0 aunque sea el modal (17.2%) porque 1-0 da mayor valor Penca esperado (3.20 vs 3.18 pts) al combinar exacto, diferencia y resultado.",0.0069245615,Penca difiere del modal
