match_id,title,team_a,team_b,model_prob_a,model_prob_draw,model_prob_b,market_prob_a,market_prob_draw,market_prob_b,market_total_goals,market_handicap,gap_status
,Spain vs Saudi Arabia,Spain,Saudi Arabia,0.9030791561,0.0785988419,0.0183220020,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Belgium vs Iran,Belgium,Iran,0.6356505496,0.2299295151,0.1344199354,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Uruguay vs Cape Verde,Uruguay,Cape Verde,0.7662247126,0.1721794053,0.0615958820,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,New Zealand vs Egypt,New Zealand,Egypt,0.1804280802,0.2577424831,0.5618294367,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Argentina vs Austria,Argentina,Austria,0.7674999436,0.1730409306,0.0594591258,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,France vs Iraq,France,Iraq,0.8589112382,0.1181269946,0.0229617671,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Norway vs Senegal,Norway,Senegal,0.3987447621,0.3008882353,0.3003670026,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Jordan vs Algeria,Jordan,Algeria,0.3461435041,0.3076977579,0.3461587380,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Portugal vs Uzbekistan,Portugal,Uzbekistan,0.7218985684,0.1963760744,0.0817253573,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,England vs Ghana,England,Ghana,0.8683378860,0.1112917317,0.0203703823,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Panama vs Croatia,Panama,Croatia,0.1059269029,0.2164400843,0.6776330128,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Colombia vs Dem. Rep. of Congo,Colombia,Dem. Rep. of Congo,0.8035988870,0.1508492467,0.0455518663,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Bosnia and Herzegovina vs Qatar,Bosnia and Herzegovina,Qatar,0.6065145049,0.2471704708,0.1463150243,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Switzerland vs Canada,Switzerland,Canada,0.5507600995,0.2667788738,0.1824610267,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Morocco vs Haiti,Morocco,Haiti,0.7445477204,0.1860889431,0.0693633365,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Scotland vs Brazil,Scotland,Brazil,0.0989699833,0.2140871051,0.6869429117,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Czech Republic vs Mexico,Czech Republic,Mexico,0.1409108535,0.2391922945,0.6198968520,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,South Africa vs South Korea,South Africa,South Korea,0.0452081735,0.1631162752,0.7916755513,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Curacao vs Ivory Coast,Curacao,Ivory Coast,0.1263186931,0.2335066251,0.6401746819,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Ecuador vs Germany,Ecuador,Germany,0.3136653519,0.3009787893,0.3853558588,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Japan vs Sweden,Japan,Sweden,0.6734317730,0.2191480119,0.1074202151,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Tunisia vs Netherlands,Tunisia,Netherlands,0.0451313957,0.1559568290,0.7989117753,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Paraguay vs Australia,Paraguay,Australia,0.3902553862,0.3016373261,0.3081072876,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Turkey vs United States,Turkey,United States,0.5261536600,0.2705446469,0.2033016930,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Norway vs France,Norway,France,0.1426243931,0.2418523411,0.6155232657,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Senegal vs Iraq,Senegal,Iraq,0.7477880308,0.1838004507,0.0684115185,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Cape Verde vs Saudi Arabia,Cape Verde,Saudi Arabia,0.2960305801,0.3066686638,0.3973007561,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Uruguay vs Spain,Uruguay,Spain,0.0646673429,0.1739912935,0.7613413636,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Egypt vs Iran,Egypt,Iran,0.2117819813,0.2786860995,0.5095319192,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,New Zealand vs Belgium,New Zealand,Belgium,0.0707878243,0.1830324525,0.7461797232,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Croatia vs Ghana,Croatia,Ghana,0.8325327111,0.1350013085,0.0324659803,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Panama vs England,Panama,England,0.0488458465,0.1602087302,0.7909454233,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Colombia vs Portugal,Colombia,Portugal,0.3444130194,0.3106458855,0.3449410950,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Dem. Rep. of Congo vs Uzbekistan,Dem. Rep. of Congo,Uzbekistan,0.2090677491,0.2809386474,0.5099936035,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Algeria vs Austria,Algeria,Austria,0.1792736663,0.2636994425,0.5570268913,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
,Jordan vs Argentina,Jordan,Argentina,0.0298217791,0.1311601539,0.8390180670,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M73,Dieciseisavos 1: South Korea vs Canada,South Korea,Canada,0.3293170687,0.3235404949,0.3471424363,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M74,Dieciseisavos 2: Germany vs Czech Republic,Germany,Czech Republic,0.6257928407,0.2478157327,0.1263914266,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M75,Dieciseisavos 3: Netherlands vs Morocco,Netherlands,Morocco,0.5675960899,0.2706911735,0.1617127365,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M76,Dieciseisavos 4: Brazil vs Japan,Brazil,Japan,0.5166335970,0.2868884111,0.1964779919,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M77,Dieciseisavos 5: France vs Scotland,France,Scotland,0.7208536533,0.2035736667,0.0755726800,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M78,Dieciseisavos 6: Ecuador vs Norway,Ecuador,Norway,0.3430201711,0.3226928852,0.3342869437,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M79,Dieciseisavos 7: Mexico vs Scotland,Mexico,Scotland,0.4777556575,0.2936199515,0.2286243911,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M80,Dieciseisavos 8: England vs Uzbekistan,England,Uzbekistan,0.7381096352,0.1947844769,0.0671058879,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M81,Dieciseisavos 9: Turkey vs Bosnia and Herzegovina,Turkey,Bosnia and Herzegovina,0.7281194201,0.1983405865,0.0735399933,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
M82,Dieciseisavos 10: Belgium vs Czech Republic,Belgium,Czech Republic,0.5276099982,0.2810227428,0.1913672589,,,,,,sin mercado confiable prepartido; no acercar pick sin fuente
