baseline,n_paired,model_brier,baseline_brier,delta_brier,model_logloss,baseline_logloss,delta_logloss,beats,comparison_status
poisson_simple,1930,0.1973429339931665,0.1990659654865933,-0.0017230314934268132,0.9944440476838784,1.0005756858384827,-0.006131638154604269,True,medido_superado
elo_puro,1930,0.1973429339931665,0.19995181914933,-0.002608885156163504,0.9944440476838784,1.0038472968239058,-0.009403249140027437,True,medido_superado
mercado_puro,0,,,,,,,,sin_muestra
