matches,accuracy_1x2,brier_score,log_loss,ranked_probability_score,mae_goals_a,mae_goals_b,mae_total_goals,competition
631,0.5578446909667195,0.19321507412347377,0.9757246554845652,0.19693220498917802,1.1418097497875255,0.8984736246217786,2.040283374409304,Copa América
911,0.5455543358946213,0.19704516284637227,0.9953023717051305,0.20710589221008938,1.0426352406952224,0.8892249902353676,1.9318602309305901,FIFA World Cup
388,0.5025773195876289,0.2047551739223047,1.0228718912261618,0.21004942124063117,0.9025483370187548,0.8217645777241709,1.7243129147429257,UEFA Euro
